元件编号,元件名称,参数,封装,连接关系,作用,参数选择原因
J1,电源输入端子,5V/GND,2P-5.08mm接线端子,5V_IN 与 GND,给整板输入外部5V,5V便于同时供给功放与3.3V稳压器
F1,自恢复保险丝,500mA,1812,串联在J1后级5V输入,输入过流保护,正常播放电流够用且故障时可自恢复
D1,肖特基二极管,SS14,SMA,串联在5V输入正端,反接保护,压降低于普通二极管且易采购
C1,输入大电容,47uF/10V,1206或插件,5V_IN对GND,抑制插拔和线缆引起的低频波动,容量足以稳定输入又不过分占板
C2,输入高频去耦,0.1uF,0603,5V_IN对GND,旁路高频尖峰,0.1uF对高频噪声阻抗低
U2,3.3V稳压器,ME6211C33M5G,SOT-23-5,输入接5V_IN 输出为3V3_D,给MCU Flash OLED供电,低压差且发热低 适合5V转3.3V
C3,LDO输入电容,1uF,0603,U2输入对GND,稳定LDO输入,满足常见LDO稳定性要求
C4,LDO输出电容,4.7uF,0805,U2输出对GND,稳定3.3V输出,兼顾瞬态响应和体积
C5,3.3V总线去耦,0.1uF,0603,3V3_D对GND,补充高频旁路,降低数字总线尖峰
U1,主控MCU,STM32F103C8T6,LQFP48,VDD/VDDA/VBAT接3.3V VSS/VSSA接GND,系统控制核心,与现有标准库工程完全匹配
Y1,外部晶振,8MHz,3225,接OSC_IN/OSC_OUT,提供72MHz系统时钟基准,现有代码按HSE8MHz乘9配置
C6,晶振负载电容,22pF,0603,Y1一端到GND,与晶振形成负载,常见12pF负载晶体配合板级杂散后接近目标值
C7,晶振负载电容,22pF,0603,Y1另一端到GND,与晶振形成负载,与C6对称保证振荡条件
R1,复位上拉电阻,10k,0603,NRST到3V3_D,保证默认不复位,阻值兼顾抗干扰和按键下拉电流
C8,复位电容,0.1uF,0603,NRST到GND,上电时形成短暂复位延时,与10k组合约1ms便于稳定启动
SW1,复位按键,轻触开关,6x6mm,NRST到GND,手动复位,调试时便于重新启动系统
R2,BOOT0下拉,10k,0603,BOOT0到GND,默认从片内Flash启动,避免BOOT0悬空误入系统Bootloader
JP1,BOOT0跳帽,2P-2.54mm,BOOT0到3V3_D可短接,需要时进入系统Bootloader,保留串口下载和救援入口
R3,BOOT1下拉,10k,0603,PB2/BOOT1到GND,配合BOOT0决定启动模式,当BOOT0拉高时确保进入系统存储器模式
FB1,模拟电源磁珠,600R@100MHz,0603,3V3_D串联到VDDA,隔离数字噪声进入模拟电源,即使当前不用ADC也保留良好习惯
C9,VDDA去耦,0.1uF,0603,VDDA到GND,模拟电源高频旁路,减小模拟电源纹波
C10,VDDA储能,1uF,0603,VDDA到GND,模拟电源低频稳定,配合磁珠形成简单滤波
C11,MCU去耦1,0.1uF,0603,VDD1到GND,MCU本地高频去耦,每个电源脚附近都要有
C12,MCU去耦2,0.1uF,0603,VDD2到GND,MCU本地高频去耦,缩短瞬态电流回路
C13,MCU局部储能,4.7uF,0805,3V3_D到GND靠近U1,提供较低频瞬态电流,补足多个0.1uF的容量不足
R4,VBAT连接电阻,0R,0603,VBAT到3V3_D,无后备电池时给VBAT供电,0R便于以后改版断开
J2,SWD下载口,1x5-2.54mm,3V3 SWDIO PA13 SWCLK PA14 NRST GND,下载和在线调试,最少引脚即可满足ST-LINK使用
J3,USART1接口,1x4-2.54mm,3V3 GND PA9_TX PA10_RX,文件传输与串口日志,现有工程依赖USART1
D2,状态LED,绿色LED,0603或0805,3V3_D经R5到LED再到PC13,显示系统状态,与现有代码的低电平点亮逻辑一致
R5,LED限流电阻,1k,0603,3V3_D到D2,限制LED电流,PC13驱动能力较弱 1k更温和
U3,SPI Flash,W25Q64JVSSIQ,SOIC-8,CS PA4 SCK PA5 MISO PA6 MOSI PA7 VCC 3V3_D GND,存储WAV/MP3文件,与现有软件驱动完全匹配且容量足够
R6,Flash片选上拉,10k,0603,CS到3V3_D,复位阶段让Flash保持未选中,防止总线未知态误操作
R7,WP上拉,10k,0603,WP#到3V3_D,默认关闭写保护功能,避免引脚悬空
R8,HOLD上拉,10k,0603,HOLD#到3V3_D,默认不中断SPI通信,避免引脚悬空
C14,Flash去耦,0.1uF,0603,U3 VCC到GND,抑制Flash开关电流尖峰,Flash读写边沿较快
C15,Flash局部储能,1uF,0603,U3 VCC到GND,辅助稳定供电,与0.1uF覆盖更宽频段
J4,OLED接口,1x4-2.54mm,GND 3V3 PB8_SCL PB9_SDA,连接SSD1306 I2C OLED模块,沿用现有软件I2C实现
R9,I2C上拉电阻,4.7k,0603,PB8_SCL到3V3_D,给开漏总线提供高电平,4.7k是短板级I2C常用折中值
R10,I2C上拉电阻,4.7k,0603,PB9_SDA到3V3_D,给开漏总线提供高电平,与SCL保持一致
C16,OLED接口去耦,0.1uF,0603,J4 3V3到GND,降低显示模块瞬态影响,模块连接线会引入寄生电感
R11,一级低通电阻,2.2k,0603,PB0到AUDIO_F1节点,与C17构成第一极低通,在不过度加载GPIO前提下降低PWM载波
C17,一级低通电容,10nF,0603,AUDIO_F1到GND,与R11组成约7.2kHz低通,兼顾4kHz音频保真和70kHz PWM抑制
R12,二级低通电阻,2.2k,0603,AUDIO_F1到AUDIO_F2节点,与C18构成第二极低通,进一步压低PWM纹波
C18,二级低通电容,10nF,0603,AUDIO_F2到GND,与R12组成第二极低通,两级叠加提升载波衰减
RV1,音量电位器,10kA,3296或旋钮电位器,AUDIO_F2到GND 滑臂输出AUDIO_VOL,调节送入功放的幅度,避免固定增益下过响或失真
C19,左声道输入耦合,1uF,0805,AUDIO_VOL到PAM8403 LIN,隔离PWM直流分量,与输入阻抗形成很低截止频率
C20,右声道输入耦合,1uF,0805,AUDIO_VOL到PAM8403 RIN,将当前单声道复制到右声道,便于未来双喇叭播放
FB2,功放电源磁珠,600R@100MHz且额定1A以上,0805,5V_IN到5V_AUDIO,隔离功放开关电流回灌主电源,降低数字区受扰
C21,功放高频去耦,0.1uF,0603,5V_AUDIO到GND靠近U4,抑制开关尖峰,功放边沿快必须就近放置
C22,功放储能电容,470uF/10V,插件或7343,5V_AUDIO到GND靠近U4,支撑低频大电流,喇叭瞬态电流远大于MCU
U4,功放芯片,PAM8403,SOP-16,LIN/RIN接C19/C20 供电接5V_AUDIO 输出到喇叭端子,驱动喇叭,效率高 发热小 5V下易用
R13,功放使能上拉,100k,0603,SHDN到5V_AUDIO,默认上电开启功放,避免SHDN悬空导致状态不定
J5,左声道喇叭端子,2P-5.08mm,OUTL+ 与 OUTL-,连接8欧喇叭,桥接输出不能接地
J6,右声道喇叭端子,2P-5.08mm,OUTR+ 与 OUTR-,保留未来立体声,当前可不接或接第二只喇叭
TP1,测试点,3V3,测试焊盘,3V3_D,测量数字电源,调试供电是否正常
TP2,测试点,GND,测试焊盘,GND,示波器地参考,便于调试
TP3,测试点,PWM,测试焊盘,PB0/AUDIO_PWM,观察原始PWM波形,验证定时器输出
TP4,测试点,FILT,测试焊盘,AUDIO_F2,观察低通后的模拟波形,判断滤波和播放是否正常
TP5,测试点,NRST,测试焊盘,NRST,观察或手动拉复位,便于上电调试
